0,1,2,3
What recession? https://t.co/IzMYZ8OqMW,2023-05-01 18:15:11+00:00,dana_marlane,"Houston, TX"
@JustinTrudeau And what was 2022 vs 2018? Only data I see is 2019 most recent which is flat back to 2009. 2007-09 w… https://t.co/dNAncu1RJu,2023-05-01 18:09:38+00:00,FullMoustache,Earth
"How long a recession could last, according to economists https://t.co/trinuJvLjD",2023-05-01 18:08:48+00:00,LogycThaLion,"Houston, TX"
@RNCResearch Nonsense! He's not lying! You bill would send us into a recession per economists at Moody's! Get real!,2023-05-01 17:52:00+00:00,emrey35,"College Station, TX"
@MangotreeA @Oakgrovecapital Yep. Though some stocks already trading at low multiples due to recession fears might do alright.,2023-05-01 17:51:46+00:00,EricJhonsa,"Phoenix, AZ"
🇺🇸 Retail sector insiders are betting on no recession: 4 undervalued stocks they like now https://t.co/nqcbI8W5QU,2023-05-01 17:42:00+00:00,NeilRetail,"Scottsdale, AZ"
Here we go… #FirstRepublic #Bankcollapse #recession https://t.co/k5Uwqulnkn,2023-05-01 17:37:37+00:00,JimmySpittz,"Arizona, USA"
"Ultimately that means the Fed will once again look silly and behind the curve

The Fed will have cover to CUT inter… https://t.co/14sGZ944Nj",2023-05-01 17:34:49+00:00,stockgeekTV,"Austin, TX"
Last June we had a big selloff in stocks as CPI came in above expectations and markets priced in more aggressive ra… https://t.co/fwyTBkpLIO,2023-05-01 17:34:47+00:00,stockgeekTV,"Austin, TX"
@YggyD @GregAbbott_TX Because Texas enjoys cheap slave labor with no rights! And if you stop construction in Texas… https://t.co/UvWyrlyUS8,2023-05-01 17:34:31+00:00,randal_lee,"Austin, TX"
@cookstarfarms @business I’d guess it deepens recession.,2023-05-01 17:33:21+00:00,DiMartinoBooth,"Dallas, TX"
"@alifarhat79 I had to survive the last recession without any laughs. 😔
This upcoming recession, I look forward to h… https://t.co/WJOouoB0Qe",2023-05-01 17:32:50+00:00,mrtimer2022,"Dallas, TX"
I’m almost in Peter’s camp. We’ll see pockets of inflation stickiness (@pboockvar rightly pointed out rent renewals… https://t.co/43iudmLLfy,2023-05-01 17:32:39+00:00,DiMartinoBooth,"Dallas, TX"
"“Wage price spiral” fades to recession reality. Saw this coming but few believed it months ago

“Fodder re: labor c… https://t.co/yCW4uYxcMs",2023-05-01 17:27:39+00:00,DiMartinoBooth,"Dallas, TX"
"@firedupt Banks are failing, which means the U.S. economy is in recession",2023-05-01 17:24:40+00:00,fendi_supriyadi,Dallas
"$AAPL at $170. Just a severe, unbearable recession we are having.",2023-05-01 17:20:36+00:00,PaulMedica,"Texas, Louisiana "
5 Keys to Marketing Your Business During a Recession - https://t.co/yQy43SeFrk https://t.co/uGthJd8rNu,2023-05-01 17:20:11+00:00,StrategicMrktg,"Mesa, AZ"
@SelfMadeMastery Probably because financial institutions are collapsing and a heavy recession is “possibly” on the… https://t.co/WkVzWQzdm1,2023-05-01 17:19:40+00:00,JasenKnowsBest,Earth
"This policy will, should it stand, lead to the same conditions which caused the housing market crash that started T… https://t.co/bRsdjRtzcK",2023-05-01 17:08:41+00:00,HuntinHippy,Oklahoma
"@EdKrassen Teetering on war and economic recession are the biggest news items, Trump Trial, Gender ID, and Dark Bra… https://t.co/qXqSBtfBKG",2023-05-01 17:00:10+00:00,gearedandready,"Conroe, TX"
The banking crash is already worse than 2008. And the recession hasn’t even started yet https://t.co/2Pcmiiknke,2023-05-01 16:56:06+00:00,MMAFayce,"Dallas,Texas"
"@unusual_whales We are already in recession layoffs are already starting at places like McDonald’s, Facebook, Amazon etc.",2023-05-01 16:49:14+00:00,vitale1776,"Midland, TX"
Recession fears us into a bull,2023-05-01 16:44:28+00:00,notalkinvest,"New Orleans, LA"
"A recession doesn't start when the late data is released.
It starts when you see it outside in the real world. And… https://t.co/hGm0PrkN6l",2023-05-01 16:41:06+00:00,drykod,Earth
"#USDJPY 
Most traders fail to predict a recession. They don't look outside, the real world.",2023-05-01 16:38:29+00:00,drykod,Earth
"The US recession is going to hit hard in late summer.

#USDJPY",2023-05-01 16:28:36+00:00,drykod,Earth
"""The 'R Word' that one should use when discussing the American economy over the past two years should be resilient,… https://t.co/QgnteX30Pa",2023-05-01 16:24:00+00:00,zcarroll,"Austin, TX"
"My Millennial Timeline:
2009: Graduate into a recession 😵‍💫
2020-2022: pandemic job market 🙃
2023: Texas potentiall… https://t.co/ZfGexTPr81",2023-05-01 16:17:16+00:00,alvarojcorral,"McAllen, TX"
@danbellock @dfwaaronlayman They will try the same for a while and the ants will stay while the grasshoppers leave… https://t.co/BLN5sNH6sO,2023-05-01 16:01:38+00:00,windgineering,"Edmond, OK"
It is crucial to innovate and be proactive in downturns in real  estate. When everybody in your marketplace is doin… https://t.co/aGHv35c0oI,2023-05-01 15:52:09+00:00,getpaperlessnow,"Austin, Tx"
"#From_2019

#CorpBias
Bill Maher roots for recession so that Trump loses in 2020
https://t.co/ph7IWEEtEr
10 Aug 201… https://t.co/Vq9BJ75ubF",2023-05-01 15:45:02+00:00,borderObserver,West TX
US in deep recession after involve in war with russia,2023-05-01 15:42:51+00:00,iReadThink,Earth
@gurgavin The three banks that have collapsed in the US in last two months held more assets than the combined total… https://t.co/dyRYRjnelX,2023-05-01 15:42:33+00:00,GPTALPHA,CLICK HERE 👉🏼
"Investors are betting the dollar, down about 8.6% from September, will fall more as Fed tightening ends and amid ba… https://t.co/3kzjXf1lqC",2023-05-01 15:10:03+00:00,SoumyaG98,Earth
"Buying a House in Recession: Pros, Cons, and Expert Advice

In this comprehensive guide, I’m going to talk about th… https://t.co/vb0CXg05Be",2023-05-01 15:09:24+00:00,MaxRomulusMrkt,"Mesa,AZ"
@chutneylife Don’t forget to factor in all the government EXTRA spending. Back that out and we are already in a rec… https://t.co/7UkZWPaDaH,2023-05-01 15:06:42+00:00,Vanillawayfer,"Austin, TX"
"So 2 of the top 14 banks fail and Biden’s administration and lame stream media say nothing to see here. 

Get prepa… https://t.co/zCf8boNj71",2023-05-01 15:03:35+00:00,MaxalW,"The Woodlands, TX"
"How can your B2B SaaS stay above water when you feel like the market is sinking?

Our latest blog looks at some B2B… https://t.co/zwtYl0oGiY",2023-05-01 15:01:22+00:00,LeaditMarketing,"Dallas, TX"
U.S. Recession Probability Reaches 67%: https://t.co/pkrQJOep31 $SPY $QQQ https://t.co/YdDY2F5OnR,2023-05-01 15:01:10+00:00,TheBubbleBubble,Texas & New York
Recession probability model from [New York Fed] continues to move up and is now at highest since 1982. #retwit https://t.co/ssV961kHBv,2023-05-01 15:00:03+00:00,scottdavisCRE,"Houston, Texas"
"#partygate
#RepublicNow
#NursesStrike
#teachersstrike
#doctorsstrike
#PCSonStrike 
#indyref2
#recession
#Depression… https://t.co/ph5iggc7Pg",2023-05-01 14:57:15+00:00,ReddySalina,Earth
"👉 3. Consumer staples: Companies that produce consumer staples like food, beverage, and household products are gene… https://t.co/Mtw9DWMiQa",2023-05-01 14:56:21+00:00,meDeepu1,Earth
"@GordonGChang Just like the US. “We aren’t in a recession,” bs.",2023-05-01 14:54:19+00:00,luvthmgators,"Choctaw, OK"
Let’s see- everyone says recession coming. Market goes higher. You figure it out $SPY,2023-05-01 14:45:23+00:00,CremeDeMentha,"Scottsdale, AZ"
"@elonmusk @LHSummers @federalreserve @DavidWestin @BloombergTV Recession- I already experienced it. 
Its awful but no big deal.",2023-05-01 14:39:04+00:00,QuickelErnelia,"Dallas, Texas"
@deepakshenoy Taxpayers are funding it! Why should the market bother ? It will bother when recession hits owing to less lending,2023-05-01 14:34:23+00:00,adityakhaitann,Earth
Recession and the 2024 campaign https://t.co/TH92jfNBo9,2023-05-01 14:25:22+00:00,scheister,"Monroe, LA"
Wright's latest recession forecast model anticipates 67.0%  probability the period between now and the end of April… https://t.co/IvxH4an5Wd,2023-05-01 14:10:17+00:00,VRWCTexan,Great State of Texas
"Affiliate Marketing did very well in 2001 (dot com bust recession) &amp; 2008 (Great Recession).

It will do well in ch… https://t.co/cHY08aY7jZ",2023-05-01 13:59:47+00:00,TyeDeGrange,"Austin, TX"
"@SenTedCruz Oh, you mean 2011 when the economy was still in the toilet from the GoP caused Great recession and tax… https://t.co/VsarXwV0Dw",2023-05-01 13:39:18+00:00,ThomasGrissom,Dallas/Ft. Worth
"This week on the #SixFivePodcast, we discuss @awscloud and @amazon earnings. 
- 
Will the company continue to grow… https://t.co/1Vrc4vhY4x",2023-05-01 13:23:36+00:00,SixFivePodcast,"Austin, Texas"
@CryptoWizardd Just wait until this recession hits and those that didn’t take profits get annihilated,2023-05-01 13:22:53+00:00,MDfitnessllc,"Metairie, LA"
@GuntherEagleman So are we heading to a bigger recession or depression? Asking for a friend thanks.,2023-05-01 13:13:22+00:00,floridaman10000,Earth
"Leaders can help their companies ride out an economic recession by staying focused on core customers, innovating fo… https://t.co/IUYDqzlA15",2023-05-01 13:10:01+00:00,GracePlaton,"Dallas, Texas"
"Economics students are learning about the differences between Recession, Depression, and Expansion periods today. A… https://t.co/t5GGHqeNdu",2023-05-01 13:08:51+00:00,CSHSssArians,"Iowa, USA"
"Keeping your mouth clean is important, but don't brush too hard because it can cause gum recession and lead to incr… https://t.co/PuSbAhKO82",2023-05-01 13:01:16+00:00,APDSmile,"Amarillo, TX"
Recession https://t.co/uqRIJ63ZeK,2023-05-01 13:00:29+00:00,Trey_fromThaBAY,"Dallas, TX"
@howzthemarket @POTUS Good luck in a recession,2023-05-01 12:54:31+00:00,Philroy1Roy,"Frisco, TX"
@gaborgurbacs They have been saving a lot of cash on the expectation of a recession and we’re not even there yet.,2023-05-01 12:47:41+00:00,salva249,
@RadarHits And we’re not in a recession yet.,2023-05-01 12:41:20+00:00,salva249,
@POTUS Fantasy land. The reality of the situation is thousands of highly paid people have been laid off and economi… https://t.co/hdPEXEgwnu,2023-05-01 12:39:44+00:00,JacqQC,"Arizona, USA"
"@westcoastbill Further hikes = recession
Lowering the rate = more bank failures

There’s no simple answer like you… https://t.co/BLyNc9YUMY",2023-05-01 12:38:20+00:00,SloGossip,Not Texas
@MarioNawfal And we’re not in a recession yet.,2023-05-01 12:38:05+00:00,salva249,
"@zerohedge Did they blame inflation, recession, or Ozempic?",2023-05-01 12:29:58+00:00,pgoehaus33,"Houston, TX"
"📉 Recession Probabilities Forecast 2023
(Bloomberg, Apr 2023)

🇬🇧 UK: 75%
🇳🇿 New Zealand: 70%
🇺🇸 US: 65%
🇩🇪 Germany… https://t.co/xX4wwW2zT8",2023-05-01 12:27:54+00:00,financial_index,Earth
@unusual_whales We are already well into a recession.,2023-05-01 12:24:44+00:00,Snazzguy1,"New Caney, TX"
"@StockMKTNewz 📉 Recession Probabilities Forecast 2023
(Bloomberg, Apr 2023)

🇬🇧 UK: 75%
🇳🇿 New Zealand: 70%
🇺🇸 US:… https://t.co/pHGWJlTcPb",2023-05-01 12:13:00+00:00,financial_index,Earth
"Mmmhmm. The banking system is ok, mortgages will now be given to unqualified buyers, rates are going sky-high, rece… https://t.co/Y6CmztbTIx",2023-05-01 12:07:20+00:00,TexasJan46,"Houston, TX"
"@charliebilello 📉 Recession Probabilities Forecast 2023
(Bloomberg, Apr 2023)

🇬🇧 UK: 75%
🇳🇿 New Zealand: 70%
🇺🇸 US… https://t.co/pmB0vOd0KM",2023-05-01 12:06:18+00:00,financial_index,Earth
"@charliebilello 🪫📉Recession Probabilities Forecast 2023
(Bloomberg, Apr 2023)

🇬🇧 UK: 75%
🇳🇿 New Zealand: 70%
🇺🇸 US… https://t.co/CP8nMmzE3L",2023-05-01 11:59:16+00:00,financial_index,Earth
"@charliebilello @matt_kohrs 🪫📉Recession Probabilities Forecast 2023
(Bloomberg, Apr 2023)

🇬🇧 UK: 75%
🇳🇿 New Zealan… https://t.co/StEarHNBOV",2023-05-01 11:58:49+00:00,financial_index,Earth
"@nh4y9hh7r7 Remember, officially recession is defined as declining output in two consecutive quarters.",2023-05-01 11:50:29+00:00,anasalhajji,"Dallas, USA"
@nytimes The longer the yield curve is inverted the greater the risk to the traditional banking model. More short t… https://t.co/8g1CgZ3RqC,2023-05-01 11:36:49+00:00,5000Pete,Earth
"Bond investors fearing recession, boost safety bets ahead of FOMC - Reuters

https://t.co/cxi7YpIp5a",2023-05-01 11:22:57+00:00,OpenOutcrier,"Chicago, IL & Austin, Tx"
Recession Income Secrets Report https://t.co/tJGXOypiqA #giveaway #win via @RealKingSumo,2023-05-01 11:17:29+00:00,CryptoToGoo,Earth
Hyper / inlfation . If a recession do not come along . https://t.co/hDW2wdycVw,2023-05-01 11:01:35+00:00,Andouillettefr,Houston
2. The markets won't feel the full effect of the Feds idiocy until the fall.  Liquidity is drying up and will drive… https://t.co/MU0pcYqI9z,2023-05-01 09:43:55+00:00,JJsPlayhouse,Earth
The markets won't feel the full effect of the Feds idiocy until the fall.  Liquidity is drying up and will drive th… https://t.co/7fEa2BCRB7,2023-05-01 09:38:42+00:00,JJsPlayhouse,Earth
"@Cobratate I feel like there’ll be one more boom 💥 period before the recession hits finally, now, that period would make all the change.",2023-05-01 09:37:15+00:00,olasvbomi,Earth
@fxevolution @fxevolution (Tom) could you do a segment on Indian markets (Nifty50) would love your insight on that… https://t.co/drCc4VkdCt,2023-05-01 09:34:15+00:00,Harshpats,"Phoenix, AZ"
@ligma__sigma @Lavrovskyi @MarioNawfal Even with just one commodity contract. You would be a very wealthy person in… https://t.co/QkP5we1FBY,2023-05-01 09:10:16+00:00,birdmanbob4,"Corpus Christi, TX"
@unusual_whales Fed will hike.  Inflation has brought and end to many empires throughout history.  Fed will need to… https://t.co/fpeZLS52ma,2023-05-01 09:08:16+00:00,BSBasin,"Dallas, TX"
"@CryptoCon_ That model will break one day, a recession might just do it",2023-05-01 08:23:34+00:00,BTCADED,Earth
5) Larry Summers (fmr Sec. of Treasury) and Elon Musk have an interesting exchange over the chances of recession (S… https://t.co/pkYrWFVFiE,2023-05-01 07:13:15+00:00,ArmySpies,Earth
"@EntropyDynamix @LHSummers @federalreserve @DavidWestin @BloombergTV In July 1932, the S&amp;P 500 had fallen 75% from… https://t.co/HZHhlFbPly",2023-05-01 06:43:37+00:00,HughEverett,"Houston, Texas"
AKA an intentional recession. GFD @POTUS fire Powell or all your talk of growing the economy from the middle is all… https://t.co/nq9A6A1hdN,2023-05-01 06:33:49+00:00,ThomasW423,"Orange, Texas"
@LibertyCappy That would create I'm pretty sure called a recession due to. Too much money makes things more expensi… https://t.co/s41Z19VEya,2023-05-01 06:14:24+00:00,MavTwisted,earth
"Bull market is back
Recession announcements in June
Buy when they’re fearful, sell when they’re greedy.",2023-05-01 06:03:59+00:00,CandymanMC,DFW
"@jilevin Stock market is more Bullshit! Remember banks are failing! 
Stocks could have a surprisingly strong first… https://t.co/lVjMen8UHx",2023-05-01 05:05:02+00:00,yahuda101,"El Paso, TX"
🇬🇧 Dwindling recession fears boost business confidence https://t.co/uDxHRyk7NO,2023-05-01 04:42:00+00:00,NeilRetail,"Scottsdale, AZ"
"Biden will win by a landslide if the GOP nominates Trump and if the economy avoids a hard landing. However, any oth… https://t.co/r0zdWPnjU5",2023-05-01 04:25:03+00:00,GarzaGarciaJG,San Pedro Garza García
@theBurk3nator I've only heard good things about this movie too. I don't feel like they didn't do enough marketing… https://t.co/PexZ4lJdOh,2023-05-01 03:59:20+00:00,ItsDainti,"Iowa, Usa"
@stillgray NAZI’s (National Socialist of German’s Workers Party) ? so leftists when film more leftists… Oh I forgot… https://t.co/uVsj85OGyu,2023-05-01 03:35:06+00:00,Hyde19761,"The Woodlands, TX"
"Hong Kong has also been in a recession for years (besides the 2021 bump)

 The last 8-of-12 quarters saw negative G… https://t.co/TUJ1KSMNAt",2023-05-01 02:55:11+00:00,RadicalAdem,"Arizona, USA"
*Taiwan’s economy plunged into recession (GDP -3% in Q1) after shrinking at the fastest pace since the 08 - a signa… https://t.co/quED0EKdGw,2023-05-01 02:49:32+00:00,RadicalAdem,"Arizona, USA"
"@AaronParnas Agree. He needs to finish the job, including 
- recession&amp;stagflation 
-highest inflation in 40 years… https://t.co/EzmekmHzQy",2023-05-01 02:41:47+00:00,parma1957,"Houston, TX"
"@Open_Markets mmm, yes but only briefly. lets lnoy get carried away. no amount of us buying can compete with opec warfare or recession",2023-05-01 02:40:34+00:00,firstrtfm,Earth
"@Victorshi2020 Yeaahhh. Biden needs to finish the job, including 
- recession or stagflation 
-highest inflation in… https://t.co/oqPL4cC2dD",2023-05-01 02:38:14+00:00,parma1957,"Houston, TX"
"Why is trucking so slow right now? High fuel, equipment prices, labor concerns, shipping rates, inflation, talks of… https://t.co/1pb3IdlgC5",2023-05-01 01:46:55+00:00,ErnestG41269429,"Houston, TX"
Fehmi Karahan: North Texas poised for corporate headquarters relocations even if recession hits https://t.co/NSyENn3yHr via @DallasBizNews,2023-05-01 01:20:22+00:00,DBJHethcock,Dallas
"Elon Musk Makes Dire Prediction About the Economy https://t.co/lJy2qhCMMJ 
First off, there is no mild recession, i… https://t.co/RiFxCKN60Y",2023-05-01 01:17:52+00:00,MakeTexasBlue22,"Austin, TX"
"@unusual_whales 🤣Not even remotely!

They have no tools to right this ship that will not make it worse.  If it were… https://t.co/l3HIAedhq7",2023-05-01 01:14:52+00:00,SaltyGoat17,Great state of Texas.
"@RickyRydell @TheDemocrats true fact, another or bidenrias exec orders, its just a recycle of GW Bush program that… https://t.co/oOhMMPLaZ8",2023-05-01 01:13:26+00:00,DianaShoshone,"Arizona, USA"
@unusual_whales Well. We’re IN a recession right now. And have been for quite some time. Soooooo…..,2023-05-01 01:03:35+00:00,JunoVero,Ft Hood
"Equity Bulls Count on Fed-Cycle Math That Worked For Decades [interesting] - Bloomberg $SPY $QQQ
- BofA says ‘sell… https://t.co/b6y0aoRaLX",2023-05-01 00:48:49+00:00,dana_marlane,"Houston, TX"
@POTUS 1% growth...record breaking..and dedcending to recession! At what point does Lieden stop lying?!?,2023-05-01 00:48:09+00:00,alex051496,"Dallas, TX"
"@DurhamFella What is that all about with millennials? I got GWB, Iraq War, and the financial crisis/Great Recession… https://t.co/jbTpGQev8L",2023-05-01 00:45:15+00:00,MichaelTucsonAZ,"Tucson, AZ"
@POTUS Bullshit we know your lying about inflation. It’s a recession.,2023-05-01 00:30:46+00:00,gracearizona24,"Arizona, USA"
"@HoLeeFu55204765 @elonmusk agreed, we have been in a recession for over a year As soon as bidenria and his pen took… https://t.co/yBpRDSKIEP",2023-05-01 00:27:57+00:00,DianaShoshone,"Arizona, USA"
"100% have $dkng in my watch as well. It’s said gambling stocks do well in recession

$dltr $mcd $dkng my recession… https://t.co/c1PWZrb4ty",2023-05-01 00:27:55+00:00,newagewallst,"Dallas, TX"
@EntropyDynamix @LHSummers @federalreserve @DavidWestin @BloombergTV A stock market collapse and severe recession c… https://t.co/Mr4zGJlYaX,2023-05-01 00:14:36+00:00,HughEverett,"Houston, Texas"
@jessiechar I think the “focusing on AI” line is bullshit in the same way that other tech companies are “responding… https://t.co/A22Gm0VVVp,2023-05-01 00:08:01+00:00,_andrewmartin_,"Dallas, TX"
@xxttg @runthemjewels @RotNaY0 @vidsthatgohard Chuck just say the word neega and go about your day. Like we in a re… https://t.co/84gUGx9pD9,2023-04-30 23:45:17+00:00,ZoelZimbiid,"Arizona City, AZ"
Worried About a Recession? Patient Investors Can Ride It Out https://t.co/7NgYQK4ZoE,2023-04-30 23:39:03+00:00,mckdaddy1,"Jenks, OK"
@elonmusk @ValueAnalyst1 Banks don't have money to lend...the Lieden Administration recession is on its way.,2023-04-30 22:22:56+00:00,alex051496,"Dallas, TX"
"@ClintonRarey @WiGovPR @BenjaminPDixon @FBI You mean the same one that cleaned up Bush’s Wars, killed the terrorist… https://t.co/wXaSiGvgrS",2023-04-30 21:51:56+00:00,RenaissanceXM,"Austin, TX"
@MikeLewisWrites @DonMiami3 Profitability of a recession? What does that even mean?,2023-04-30 21:51:00+00:00,DefiantDustin,"Houston, TX"
@Jethro_Aryeh @ask_aubry Side note: Huachuca City (never in great shape) decayed after the Great Recession and never really recovered.,2023-04-30 21:37:29+00:00,KurtRexCooper,The Great Sonoran Desert
"@BillPascrell Let’s be clear what has already happened with Biden
- recession/stagflation 
-highest inflation in 40… https://t.co/Vfa56WUBwz",2023-04-30 21:37:25+00:00,parma1957,"Houston, TX"
"@Claudia_Sahm I lived through those times, we  had years of intransigent inflation (&amp; stagflation). Today's circums… https://t.co/zlYYoDFUPe",2023-04-30 21:18:13+00:00,SnakeCharmers,"Houston, Texas"
"NEXT WEEK

The Bear's take:

•Monthly close on lighter volume
•Negative divergences from classic indicators
•Tough… https://t.co/oFx7ojIo6s",2023-04-30 21:13:06+00:00,PointBlank_Algo,Earth
This is where the real recession is going to come from. https://t.co/NqG80cOyyc,2023-04-30 20:37:39+00:00,LucasEmerson,NM
"@DirtyTesLa @elonmusk Higher interest rates slow down the economy, all else equal, lowering costs of supply, and al… https://t.co/8DA8SusOds",2023-04-30 20:36:14+00:00,ValueAnalyst1,"Austin, TX"
"Right.. lol. You shall 'asses the damage' your hawkish rate hikes did to the economy!!
'Stock-market investors want… https://t.co/jMamaF5FHt",2023-04-30 20:27:31+00:00,cntrofatttn,Earth
$SMH : $SPY with $SPY on bottom. I have mixed feelings about this market bc there are bullish set-ups everywhere. I… https://t.co/gDqQvy9WOj,2023-04-30 20:26:09+00:00,dana_marlane,"Houston, TX"
@desertlife88 You forgot “recession”.,2023-04-30 20:12:03+00:00,DaxinAZ,"Arizona, USA"
"@michaelrulli And who controls the house? Slime bags, as most people are suffering recession and inflation pressure… https://t.co/JDfNLkfhLO",2023-04-30 20:10:44+00:00,ChristopherTC13,"Odessa, TX"
@zozo75934315921 They are doing this because of out of control inflation.  Expect a recession,2023-04-30 19:55:43+00:00,Karenke55692796,"Dallas, TX"
@POTUS Record breaking inflation and GDP contraction without being called a recession. How do democrats still win b… https://t.co/MVcRMDdXO1,2023-04-30 19:54:21+00:00,mmc2100_xx,"San Antonio, TX"
"HELLO AMERICA,

If they continue to RAISE INTEREST RATES, all retail inventories will build, for lack of sales,

Th… https://t.co/7qIFCCKGMY",2023-04-30 19:53:34+00:00,ruggiere_l,"Sierra Vista, AZ"
"@TheDemocrats Rising inflation, recession is already here (Biden keeps changing the definition of recession), food… https://t.co/i2KwDB9gcJ",2023-04-30 19:42:26+00:00,Michell05696982,"Austin, Tx"
@SexAbuseAttys @operationdanish It’s like dominos.  CRE collapse will cause systemic damage to banks which will sen… https://t.co/IlLxYgKZFP,2023-04-30 19:23:29+00:00,texasrunnerDFW,"Dallas, TX"
"Tesla to $24.33 &amp; Epic Recession | Confronting Gordon Johnson 
https://t.co/wdMC2PDMXk via @YouTube",2023-04-30 18:51:29+00:00,divinegrackle,"Austin, TX"
@KamalaHarris Recession is imminent .   Inflation huge.    Taxes too high.   Another word salad mary-go-round?,2023-04-30 18:48:42+00:00,RobSchlein,Dallas TX
@Bill__py Lindyman is right about the recession and 2007 being the last real year. I don’t know what this place is anymore,2023-04-30 18:01:35+00:00,GMOShocktrooper,"Austin, TX"
@sha_blah Money money ! US recession so no more crony gifting any time soon. Time to earn money the hard way,2023-04-30 17:38:47+00:00,iphonised,Earth
@LHSummers Your asleep at the wheel.  Ask a small business owner if we're in recession. They'll tell you The econom… https://t.co/avMwSkCB4E,2023-04-30 17:37:43+00:00,shokandawesome,"Scottsdale, AZ"
@elonmusk @LHSummers @federalreserve @DavidWestin @BloombergTV I agree.  One of my companies handles damage apprais… https://t.co/1fOK7OGvHX,2023-04-30 17:32:55+00:00,HW_Helser,"Austin, Texas, USA"
@wealth_turtle @MarioNawfal From times of pedophiles. I mean look at Biden and his daughter. We come from an era of… https://t.co/bZ8rObxcno,2023-04-30 16:53:15+00:00,Shaggyson1984,"Tempe, AZ"
