text,TextBlob_Subjectivity,TextBlob_Polarity,TextBlob_Analysis
@HillaryClinton Misleading. Increasing the debt while the GDP grows is ok (Trump). Doing that while economy heads t… https://t.co/lUlnrvTbEN,0.5,0.5,positive
"@KamalaHarris @JoeBiden Yeaahhh. You both need to finish the job, including 
- recession&amp;stagflation 
-highest infl… https://t.co/A50I2d4qj7",0.0,0.0,neutral
"Recession 2023: What to Watch and How to Prepare - Real Estate Investor Pulse https://t.co/s0mgJSKqP4

#Recession… https://t.co/D1uhtQRQsj",0.30000000000000004,0.2,positive
“The problem for #investors right now is that it’s still possible to construct fairly divergent narratives about th… https://t.co/cs723iHGGV,0.8119047619047618,0.32857142857142857,positive
@RealJamesWoods It’s cute how they always become monopolies financed by the average Joe through inflation/recession… https://t.co/eVCKHlv4FD,0.7,0.175,positive
that academic recession is OVER,0.0,0.0,neutral
"So does the old adage of “sell in May and go away” apply in this market?

If you’re ready to retire, when do you re… https://t.co/huK2xUIHmN",0.35,0.15000000000000002,positive
What recession? https://t.co/IzMYZ8OqMW,0.0,0.0,neutral
@JustinTrudeau And what was 2022 vs 2018? Only data I see is 2019 most recent which is flat back to 2009. 2007-09 w… https://t.co/dNAncu1RJu,0.375,0.095,positive
"How long a recession could last, according to economists https://t.co/trinuJvLjD",0.23333333333333334,-0.025,negative
@RNCResearch Nonsense! He's not lying! You bill would send us into a recession per economists at Moody's! Get real!,0.30000000000000004,0.2,positive
@MangotreeA @Oakgrovecapital Yep. Though some stocks already trading at low multiples due to recession fears might do alright.,0.3375,-0.0625,negative
🇺🇸 Retail sector insiders are betting on no recession: 4 undervalued stocks they like now https://t.co/nqcbI8W5QU,0.0,0.0,neutral
Here we go… #FirstRepublic #Bankcollapse #recession https://t.co/k5Uwqulnkn,0.0,0.0,neutral
"Ultimately that means the Fed will once again look silly and behind the curve

The Fed will have cover to CUT inter… https://t.co/14sGZ944Nj",0.8583333333333334,-0.3,negative
Last June we had a big selloff in stocks as CPI came in above expectations and markets priced in more aggressive ra… https://t.co/fwyTBkpLIO,0.19166666666666668,0.125,positive
@YggyD @GregAbbott_TX Because Texas enjoys cheap slave labor with no rights! And if you stop construction in Texas… https://t.co/UvWyrlyUS8,0.7,0.4,positive
@cookstarfarms @business I’d guess it deepens recession.,0.0,0.0,neutral
"@alifarhat79 I had to survive the last recession without any laughs. 😔
This upcoming recession, I look forward to h… https://t.co/WJOouoB0Qe",0.06666666666666667,0.0,neutral
I’m almost in Peter’s camp. We’ll see pockets of inflation stickiness (@pboockvar rightly pointed out rent renewals… https://t.co/43iudmLLfy,0.5357142857142857,0.2857142857142857,positive
"“Wage price spiral” fades to recession reality. Saw this coming but few believed it months ago

“Fodder re: labor c… https://t.co/yCW4uYxcMs",0.1,-0.2,negative
"@firedupt Banks are failing, which means the U.S. economy is in recession",0.0,0.0,neutral
"$AAPL at $170. Just a severe, unbearable recession we are having.",0.0,0.0,neutral
5 Keys to Marketing Your Business During a Recession - https://t.co/yQy43SeFrk https://t.co/uGthJd8rNu,0.0,0.0,neutral
@SelfMadeMastery Probably because financial institutions are collapsing and a heavy recession is “possibly” on the… https://t.co/WkVzWQzdm1,0.5,-0.06666666666666667,negative
"This policy will, should it stand, lead to the same conditions which caused the housing market crash that started T… https://t.co/bRsdjRtzcK",0.125,0.0,neutral
"@EdKrassen Teetering on war and economic recession are the biggest news items, Trump Trial, Gender ID, and Dark Bra… https://t.co/qXqSBtfBKG",0.30000000000000004,0.02500000000000001,positive
The banking crash is already worse than 2008. And the recession hasn’t even started yet https://t.co/2Pcmiiknke,0.6,-0.4,negative
"@unusual_whales We are already in recession layoffs are already starting at places like McDonald’s, Facebook, Amazon etc.",0.1,0.0,neutral
Recession fears us into a bull,0.0,0.0,neutral
"A recession doesn't start when the late data is released.
It starts when you see it outside in the real world. And… https://t.co/hGm0PrkN6l",0.3166666666666667,-0.033333333333333326,negative
"#USDJPY 
Most traders fail to predict a recession. They don't look outside, the real world.",0.2875,0.05,positive
"The US recession is going to hit hard in late summer.

#USDJPY",0.5708333333333333,-0.29583333333333334,negative
"""The 'R Word' that one should use when discussing the American economy over the past two years should be resilient,… https://t.co/QgnteX30Pa",0.125,-0.125,negative
"My Millennial Timeline:
2009: Graduate into a recession 😵‍💫
2020-2022: pandemic job market 🙃
2023: Texas potentiall… https://t.co/ZfGexTPr81",0.0,0.0,neutral
@danbellock @dfwaaronlayman They will try the same for a while and the ants will stay while the grasshoppers leave… https://t.co/BLN5sNH6sO,0.125,0.0,neutral
It is crucial to innovate and be proactive in downturns in real  estate. When everybody in your marketplace is doin… https://t.co/aGHv35c0oI,0.65,0.1,positive
"#From_2019

#CorpBias
Bill Maher roots for recession so that Trump loses in 2020
https://t.co/ph7IWEEtEr
10 Aug 201… https://t.co/Vq9BJ75ubF",0.1,-0.3,negative
US in deep recession after involve in war with russia,0.4,0.0,neutral
@gurgavin The three banks that have collapsed in the US in last two months held more assets than the combined total… https://t.co/dyRYRjnelX,0.4388888888888889,0.16666666666666666,positive
"Investors are betting the dollar, down about 8.6% from September, will fall more as Fed tightening ends and amid ba… https://t.co/3kzjXf1lqC",0.3944444444444445,0.17222222222222222,positive
"Buying a House in Recession: Pros, Cons, and Expert Advice

In this comprehensive guide, I’m going to talk about th… https://t.co/vb0CXg05Be",0.0,0.0,neutral
@chutneylife Don’t forget to factor in all the government EXTRA spending. Back that out and we are already in a rec… https://t.co/7UkZWPaDaH,0.05,0.0,neutral
"So 2 of the top 14 banks fail and Biden’s administration and lame stream media say nothing to see here. 

Get prepa… https://t.co/zCf8boNj71",0.5166666666666666,-0.16666666666666666,negative
"How can your B2B SaaS stay above water when you feel like the market is sinking?

Our latest blog looks at some B2B… https://t.co/zwtYl0oGiY",0.5,0.25,positive
U.S. Recession Probability Reaches 67%: https://t.co/pkrQJOep31 $SPY $QQQ https://t.co/YdDY2F5OnR,0.0,0.0,neutral
Recession probability model from [New York Fed] continues to move up and is now at highest since 1982. #retwit https://t.co/ssV961kHBv,0.45454545454545453,0.13636363636363635,positive
"#partygate
#RepublicNow
#NursesStrike
#teachersstrike
#doctorsstrike
#PCSonStrike 
#indyref2
#recession
#Depression… https://t.co/ph5iggc7Pg",0.0,0.0,neutral
"👉 3. Consumer staples: Companies that produce consumer staples like food, beverage, and household products are gene… https://t.co/Mtw9DWMiQa",0.0,0.0,neutral
"@GordonGChang Just like the US. “We aren’t in a recession,” bs.",0.0,0.0,neutral
Let’s see- everyone says recession coming. Market goes higher. You figure it out $SPY,0.5,0.25,positive
"@elonmusk @LHSummers @federalreserve @DavidWestin @BloombergTV Recession- I already experienced it. 
Its awful but no big deal.",0.6666666666666666,-0.06666666666666665,negative
@deepakshenoy Taxpayers are funding it! Why should the market bother ? It will bother when recession hits owing to less lending,0.06666666666666667,-0.16666666666666666,negative
Recession and the 2024 campaign https://t.co/TH92jfNBo9,0.0,0.0,neutral
Wright's latest recession forecast model anticipates 67.0%  probability the period between now and the end of April… https://t.co/IvxH4an5Wd,0.9,0.5,positive
"Affiliate Marketing did very well in 2001 (dot com bust recession) &amp; 2008 (Great Recession).

It will do well in ch… https://t.co/cHY08aY7jZ",0.525,0.5,positive
"@SenTedCruz Oh, you mean 2011 when the economy was still in the toilet from the GoP caused Great recession and tax… https://t.co/VsarXwV0Dw",0.4791666666666667,0.1513888888888889,positive
"This week on the #SixFivePodcast, we discuss @awscloud and @amazon earnings. 
- 
Will the company continue to grow… https://t.co/1Vrc4vhY4x",0.0,0.0,neutral
@CryptoWizardd Just wait until this recession hits and those that didn’t take profits get annihilated,0.0,0.0,neutral
@GuntherEagleman So are we heading to a bigger recession or depression? Asking for a friend thanks.,0.35,0.1,positive
"Leaders can help their companies ride out an economic recession by staying focused on core customers, innovating fo… https://t.co/IUYDqzlA15",0.2,0.2,positive
"Economics students are learning about the differences between Recession, Depression, and Expansion periods today. A… https://t.co/t5GGHqeNdu",0.0,0.0,neutral
"Keeping your mouth clean is important, but don't brush too hard because it can cause gum recession and lead to incr… https://t.co/PuSbAhKO82",0.7472222222222222,0.15833333333333335,positive
Recession https://t.co/uqRIJ63ZeK,0.0,0.0,neutral
@howzthemarket @POTUS Good luck in a recession,0.6000000000000001,0.7,positive
@gaborgurbacs They have been saving a lot of cash on the expectation of a recession and we’re not even there yet.,0.0,0.0,neutral
@RadarHits And we’re not in a recession yet.,0.0,0.0,neutral
@POTUS Fantasy land. The reality of the situation is thousands of highly paid people have been laid off and economi… https://t.co/hdPEXEgwnu,0.5399999999999999,0.16,positive
"@westcoastbill Further hikes = recession
Lowering the rate = more bank failures

There’s no simple answer like you… https://t.co/BLyNc9YUMY",0.4523809523809524,0.16666666666666666,positive
@MarioNawfal And we’re not in a recession yet.,0.0,0.0,neutral
"@zerohedge Did they blame inflation, recession, or Ozempic?",0.0,0.0,neutral
"📉 Recession Probabilities Forecast 2023
(Bloomberg, Apr 2023)

🇬🇧 UK: 75%
🇳🇿 New Zealand: 70%
🇺🇸 US: 65%
🇩🇪 Germany… https://t.co/xX4wwW2zT8",0.45454545454545453,0.13636363636363635,positive
@unusual_whales We are already well into a recession.,0.0,0.0,neutral
"@StockMKTNewz 📉 Recession Probabilities Forecast 2023
(Bloomberg, Apr 2023)

🇬🇧 UK: 75%
🇳🇿 New Zealand: 70%
🇺🇸 US:… https://t.co/pHGWJlTcPb",0.45454545454545453,0.13636363636363635,positive
"Mmmhmm. The banking system is ok, mortgages will now be given to unqualified buyers, rates are going sky-high, rece… https://t.co/Y6CmztbTIx",0.52,0.33,positive
"@charliebilello 📉 Recession Probabilities Forecast 2023
(Bloomberg, Apr 2023)

🇬🇧 UK: 75%
🇳🇿 New Zealand: 70%
🇺🇸 US… https://t.co/pmB0vOd0KM",0.45454545454545453,0.13636363636363635,positive
"@charliebilello 🪫📉Recession Probabilities Forecast 2023
(Bloomberg, Apr 2023)

🇬🇧 UK: 75%
🇳🇿 New Zealand: 70%
🇺🇸 US… https://t.co/CP8nMmzE3L",0.45454545454545453,0.13636363636363635,positive
"@charliebilello @matt_kohrs 🪫📉Recession Probabilities Forecast 2023
(Bloomberg, Apr 2023)

🇬🇧 UK: 75%
🇳🇿 New Zealan… https://t.co/StEarHNBOV",0.45454545454545453,0.13636363636363635,positive
"@nh4y9hh7r7 Remember, officially recession is defined as declining output in two consecutive quarters.",0.0,0.0,neutral
@nytimes The longer the yield curve is inverted the greater the risk to the traditional banking model. More short t… https://t.co/8g1CgZ3RqC,0.5125,0.25,positive
"Bond investors fearing recession, boost safety bets ahead of FOMC - Reuters

https://t.co/cxi7YpIp5a",0.0,0.0,neutral
Recession Income Secrets Report https://t.co/tJGXOypiqA #giveaway #win via @RealKingSumo,0.4,0.8,positive
Hyper / inlfation . If a recession do not come along . https://t.co/hDW2wdycVw,0.0,0.0,neutral
2. The markets won't feel the full effect of the Feds idiocy until the fall.  Liquidity is drying up and will drive… https://t.co/MU0pcYqI9z,0.47500000000000003,0.024999999999999994,positive
The markets won't feel the full effect of the Feds idiocy until the fall.  Liquidity is drying up and will drive th… https://t.co/7fEa2BCRB7,0.47500000000000003,0.024999999999999994,positive
"@Cobratate I feel like there’ll be one more boom 💥 period before the recession hits finally, now, that period would make all the change.",0.75,0.25,positive
@fxevolution @fxevolution (Tom) could you do a segment on Indian markets (Nifty50) would love your insight on that… https://t.co/drCc4VkdCt,0.6,0.5,positive
@ligma__sigma @Lavrovskyi @MarioNawfal Even with just one commodity contract. You would be a very wealthy person in… https://t.co/QkP5we1FBY,1.0,0.65,positive
@unusual_whales Fed will hike.  Inflation has brought and end to many empires throughout history.  Fed will need to… https://t.co/fpeZLS52ma,0.5,0.5,positive
"@CryptoCon_ That model will break one day, a recession might just do it",0.0,0.0,neutral
5) Larry Summers (fmr Sec. of Treasury) and Elon Musk have an interesting exchange over the chances of recession (S… https://t.co/pkYrWFVFiE,0.55,0.2,positive
"@EntropyDynamix @LHSummers @federalreserve @DavidWestin @BloombergTV In July 1932, the S&amp;P 500 had fallen 75% from… https://t.co/HZHhlFbPly",0.0,0.0,neutral
AKA an intentional recession. GFD @POTUS fire Powell or all your talk of growing the economy from the middle is all… https://t.co/nq9A6A1hdN,0.0,0.0,neutral
@LibertyCappy That would create I'm pretty sure called a recession due to. Too much money makes things more expensi… https://t.co/s41Z19VEya,0.5927777777777778,0.265,positive
"Bull market is back
Recession announcements in June
Buy when they’re fearful, sell when they’re greedy.",0.5,-0.45,negative
"@jilevin Stock market is more Bullshit! Remember banks are failing! 
Stocks could have a surprisingly strong first… https://t.co/lVjMen8UHx",0.5222222222222223,0.39444444444444443,positive
🇬🇧 Dwindling recession fears boost business confidence https://t.co/uDxHRyk7NO,0.0,0.0,neutral
"Biden will win by a landslide if the GOP nominates Trump and if the economy avoids a hard landing. However, any oth… https://t.co/r0zdWPnjU5",0.4708333333333333,0.25416666666666665,positive
@theBurk3nator I've only heard good things about this movie too. I don't feel like they didn't do enough marketing… https://t.co/PexZ4lJdOh,0.7000000000000001,0.2333333333333333,positive
@stillgray NAZI’s (National Socialist of German’s Workers Party) ? so leftists when film more leftists… Oh I forgot… https://t.co/uVsj85OGyu,0.25,0.25,positive
"Hong Kong has also been in a recession for years (besides the 2021 bump)

 The last 8-of-12 quarters saw negative G… https://t.co/TUJ1KSMNAt",0.23333333333333334,-0.15,negative
*Taiwan’s economy plunged into recession (GDP -3% in Q1) after shrinking at the fastest pace since the 08 - a signa… https://t.co/quED0EKdGw,0.0,0.0,neutral
"@AaronParnas Agree. He needs to finish the job, including 
- recession&amp;stagflation 
-highest inflation in 40 years… https://t.co/EzmekmHzQy",0.0,0.0,neutral
"@Open_Markets mmm, yes but only briefly. lets lnoy get carried away. no amount of us buying can compete with opec warfare or recession",0.6666666666666666,0.0,neutral
"@Victorshi2020 Yeaahhh. Biden needs to finish the job, including 
- recession or stagflation 
-highest inflation in… https://t.co/oqPL4cC2dD",0.0,0.0,neutral
"Why is trucking so slow right now? High fuel, equipment prices, labor concerns, shipping rates, inflation, talks of… https://t.co/1pb3IdlgC5",0.49190476190476184,0.04857142857142855,positive
Fehmi Karahan: North Texas poised for corporate headquarters relocations even if recession hits https://t.co/NSyENn3yHr via @DallasBizNews,0.0,0.0,neutral
"Elon Musk Makes Dire Prediction About the Economy https://t.co/lJy2qhCMMJ 
First off, there is no mild recession, i… https://t.co/RiFxCKN60Y",0.41666666666666663,0.04166666666666667,positive
"@unusual_whales 🤣Not even remotely!

They have no tools to right this ship that will not make it worse.  If it were… https://t.co/l3HIAedhq7",0.44523809523809527,-0.07142857142857144,negative
"@RickyRydell @TheDemocrats true fact, another or bidenrias exec orders, its just a recycle of GW Bush program that… https://t.co/oOhMMPLaZ8",0.65,0.35,positive
@unusual_whales Well. We’re IN a recession right now. And have been for quite some time. Soooooo…..,0.5357142857142857,0.2857142857142857,positive
"Equity Bulls Count on Fed-Cycle Math That Worked For Decades [interesting] - Bloomberg $SPY $QQQ
- BofA says ‘sell… https://t.co/b6y0aoRaLX",0.5,0.5,positive
@POTUS 1% growth...record breaking..and dedcending to recession! At what point does Lieden stop lying?!?,0.0,0.0,neutral
"@DurhamFella What is that all about with millennials? I got GWB, Iraq War, and the financial crisis/Great Recession… https://t.co/jbTpGQev8L",0.375,0.4,positive
@POTUS Bullshit we know your lying about inflation. It’s a recession.,0.0,0.0,neutral
"@HoLeeFu55204765 @elonmusk agreed, we have been in a recession for over a year As soon as bidenria and his pen took… https://t.co/yBpRDSKIEP",0.0,0.0,neutral
"100% have $dkng in my watch as well. It’s said gambling stocks do well in recession

$dltr $mcd $dkng my recession… https://t.co/c1PWZrb4ty",0.0,0.0,neutral
@EntropyDynamix @LHSummers @federalreserve @DavidWestin @BloombergTV A stock market collapse and severe recession c… https://t.co/Mr4zGJlYaX,0.0,0.0,neutral
@jessiechar I think the “focusing on AI” line is bullshit in the same way that other tech companies are “responding… https://t.co/A22Gm0VVVp,0.25,-0.0625,negative
@xxttg @runthemjewels @RotNaY0 @vidsthatgohard Chuck just say the word neega and go about your day. Like we in a re… https://t.co/84gUGx9pD9,0.0,0.0,neutral
Worried About a Recession? Patient Investors Can Ride It Out https://t.co/7NgYQK4ZoE,0.0,0.0,neutral
@elonmusk @ValueAnalyst1 Banks don't have money to lend...the Lieden Administration recession is on its way.,0.0,0.0,neutral
"@ClintonRarey @WiGovPR @BenjaminPDixon @FBI You mean the same one that cleaned up Bush’s Wars, killed the terrorist… https://t.co/wXaSiGvgrS",0.2708333333333333,-0.1708333333333333,negative
@MikeLewisWrites @DonMiami3 Profitability of a recession? What does that even mean?,0.6875,-0.3125,negative
@Jethro_Aryeh @ask_aubry Side note: Huachuca City (never in great shape) decayed after the Great Recession and never really recovered.,0.5666666666666667,0.5,positive
"@BillPascrell Let’s be clear what has already happened with Biden
- recession/stagflation 
-highest inflation in 40… https://t.co/Vfa56WUBwz",0.3833333333333333,0.10000000000000002,positive
"@Claudia_Sahm I lived through those times, we  had years of intransigent inflation (&amp; stagflation). Today's circums… https://t.co/zlYYoDFUPe",0.0,0.0,neutral
"NEXT WEEK

The Bear's take:

•Monthly close on lighter volume
•Negative divergences from classic indicators
•Tough… https://t.co/oFx7ojIo6s",0.35,-0.13055555555555556,negative
This is where the real recession is going to come from. https://t.co/NqG80cOyyc,0.30000000000000004,0.2,positive
"@DirtyTesLa @elonmusk Higher interest rates slow down the economy, all else equal, lowering costs of supply, and al… https://t.co/8DA8SusOds",0.3597222222222222,-0.05138888888888891,negative
"Right.. lol. You shall 'asses the damage' your hawkish rate hikes did to the economy!!
'Stock-market investors want… https://t.co/jMamaF5FHt",0.6178571428571429,0.5428571428571429,positive
$SMH : $SPY with $SPY on bottom. I have mixed feelings about this market bc there are bullish set-ups everywhere. I… https://t.co/gDqQvy9WOj,0.25,0.0,neutral
@desertlife88 You forgot “recession”.,0.0,0.0,neutral
"@michaelrulli And who controls the house? Slime bags, as most people are suffering recession and inflation pressure… https://t.co/JDfNLkfhLO",0.5,0.5,positive
@zozo75934315921 They are doing this because of out of control inflation.  Expect a recession,0.0,0.0,neutral
@POTUS Record breaking inflation and GDP contraction without being called a recession. How do democrats still win b… https://t.co/MVcRMDdXO1,0.4,0.8,positive
"HELLO AMERICA,

If they continue to RAISE INTEREST RATES, all retail inventories will build, for lack of sales,

Th… https://t.co/7qIFCCKGMY",0.0,0.0,neutral
"@TheDemocrats Rising inflation, recession is already here (Biden keeps changing the definition of recession), food… https://t.co/i2KwDB9gcJ",0.0,0.0,neutral
@SexAbuseAttys @operationdanish It’s like dominos.  CRE collapse will cause systemic damage to banks which will sen… https://t.co/IlLxYgKZFP,0.0,0.0,neutral
"Tesla to $24.33 &amp; Epic Recession | Confronting Gordon Johnson 
https://t.co/wdMC2PDMXk via @YouTube",0.4,0.1,positive
@KamalaHarris Recession is imminent .   Inflation huge.    Taxes too high.   Another word salad mary-go-round?,0.6133333333333333,0.12000000000000001,positive
@Bill__py Lindyman is right about the recession and 2007 being the last real year. I don’t know what this place is anymore,0.3007936507936508,0.1619047619047619,positive
@sha_blah Money money ! US recession so no more crony gifting any time soon. Time to earn money the hard way,0.5208333333333333,-0.27083333333333337,negative
@LHSummers Your asleep at the wheel.  Ask a small business owner if we're in recession. They'll tell you The econom… https://t.co/avMwSkCB4E,0.4,-0.25,negative
@elonmusk @LHSummers @federalreserve @DavidWestin @BloombergTV I agree.  One of my companies handles damage apprais… https://t.co/1fOK7OGvHX,0.0,0.0,neutral
@wealth_turtle @MarioNawfal From times of pedophiles. I mean look at Biden and his daughter. We come from an era of… https://t.co/bZ8rObxcno,0.6875,-0.3125,negative
@TheDemocrats That's a joke right....? We are on the verge of a recession and Biden is doing a victory lap.... Wtf,0.7678571428571428,-0.10714285714285715,negative
"@CarolWalshReal1 2 when the money's flowing, 4 in a recession to save on going out...",0.0,0.0,neutral
"@AlexanderDants Let's see if they kick the can down the road one more time. Otherwise, we're gonna get an early Q3 recession.",0.362962962962963,0.14814814814814814,positive
If members of the Federal Reserve had hoped that March's reading of household spending on goods and services would… https://t.co/TibD1nJzQ4,0.0,0.0,neutral
If members of the Federal Reserve had hoped that March's reading of household spending on goods and services would… https://t.co/kajCr4dHKr,0.0,0.0,neutral
"@elonmusk @LHSummers @federalreserve @DavidWestin @BloombergTV The longer the yield curve remains reversed, the gre… https://t.co/fWjYqC8b2G",0.0,0.0,neutral
"@NikkiSSF7108 @JohnJHarwood Lol. Biden has already tanked 401Ks with the worst yet to come, stagflation now, recess… https://t.co/iA0r86MBM5",0.85,-0.09999999999999998,negative
@RepNancyMace Nancy - did you realize that every time we balanced our budget a recession followed.   The US governm… https://t.co/SrePb3Y3XZ,0.0,0.0,neutral
"@MacroVoices @ErikSTownsend @Ole_S_Hansen You predicted a bottom of 3K for the S&amp;P in this podcast, where do you se… https://t.co/KTERqjauHB",0.0,0.0,neutral
FAAS - food as a service? Reopening has been driving certain restaurant stocks higher along with services. This is… https://t.co/6iagzQ6xUA,0.5357142857142857,0.23214285714285715,positive
@ariggi9939 @Darkhyacinth Democrats gave away 7.5 trillion dollars and look at the economy it tanking and fixing to… https://t.co/VZRTsdiVfW,0.0,0.0,neutral
[But Didn't they chang their #definition of #recession few months back? is he #talking as per #new definition or #old definition?],0.18863636363636366,0.009090909090909087,positive
"""It is very likely that the #economy will be tipped into #recession by mid-year,"" said Desmond Lachman, senior fell… https://t.co/QcjZj9fo3U",0.5,0.0,neutral
"The #US #economy appears to be slowing, and could hit a #recession this year, according to #experts, #economic indi… https://t.co/mrapc6y0Zo",0.2,0.2,positive
"Top economists predict credit crunch, commercial real estate meltdown - Markets Insider https://t.co/D66dXu9qkL",0.26666666666666666,0.2333333333333333,positive
"The US will suffer a recession – and don't expect the Fed to rescue stocks when that happens, top Macquarie economi… https://t.co/2yGj2Hnn1g",0.5,0.5,positive
@SKTheKingYT @Jeezy “Recession” is his best but this still go tho,0.3,1.0,positive
"@JonesHospodTX @Miriam2626 Gas is up 30% food is up 18%
He embarrassed America in Afghanistan 
Supports and pours b… https://t.co/ULtEQoagoI",0.0,0.0,neutral
The recession is coming… https://t.co/hmg2QfxqS8,0.0,0.0,neutral
@elonmusk @LHSummers @federalreserve @DavidWestin @BloombergTV What real time data points are telling you we are cu… https://t.co/1q90VBVjWQ,0.30000000000000004,0.2,positive
Everyone thinks #China is booming 🤔 #recession #papertiger  https://t.co/qHWxfEE0ZV,0.0,0.0,neutral
@Mahan_Vaezzadeh Unless central banks decide to drop interest rates sharply  and start QE again asap. I dont see th… https://t.co/wXq9kQ3DKr,0.5,-0.0625,negative
@DowdEdward @elonmusk @LHSummers @federalreserve @DavidWestin @BloombergTV I would contend that a severe recession… https://t.co/zNLUjWNj4s,0.0,0.0,neutral
@WinfieldSmart #PMI &lt;50% —&gt; Manufacturing eco is in #Recession,0.0,0.0,neutral
@elonmusk @LHSummers @federalreserve @DavidWestin @BloombergTV Recession is here already. When diesel fuel is only… https://t.co/A8ESlooXhr,1.0,0.0,neutral
It could definitely change a lot of ppl lives we’re literally in a recession rn ppl are struggling be humble wtf ar… https://t.co/uMwqxDaFgt,0.6333333333333333,-0.2333333333333333,negative
"@garyblack00 great interview Gary!

The Tesla Recession &amp; Cutting Tesla | Confronting Gary Black https://t.co/tyfZsO3PqF via @YouTube",0.6944444444444443,0.011111111111111136,positive
@RepDonBacon And explain to me how your plan isn't partisan then when Economists say it will cause Recession?,0.0,0.0,neutral
"@piratebeachbum2 Recession is about the country, not the individual. https://t.co/FxHIy893tb",0.4,0.0,neutral
@News_By_Nick People must be hoarding it before the recession kicks!,0.0,0.0,neutral
@muhazeez2018 @Deshysmalls He came out from the recession he sent Nigerians into https://t.co/m7djoDGccy,0.0,0.0,neutral
"@WilmyHood2 @TheXboxClassic No doubt, global recession is having impact around the world. Though, as a collective t… https://t.co/NEqpGOO9fP",0.0,0.0,neutral
@TheDemocrats So what were President Clinton’s 18.6 million jobs? Or the 3.3 million businesses. Why I left this pa… https://t.co/uF89F1kg2d,0.0,0.0,neutral
"@rabbicy @Karoleigh1 @NCMuscleCars001 @PalmerReport That’s not all. The unsecured border, record inflation, high ga… https://t.co/bEzXsaWfOn",0.5399999999999999,0.16,positive
@WSBChairman @elonmusk @LHSummers @federalreserve @DavidWestin @BloombergTV There are worse economic outcomes than “a severe recession”.,0.4,-0.1,negative
@thundasplotch @rgz916 @AutismCapital It has outpeformed every single asset in human history ever since it came out… https://t.co/5f8K0wKpyX,0.15714285714285714,-0.03571428571428571,negative
"@HarrisFanaroff As a 3rd-party recruiter, I was trained in my early career that people already employed were more v… https://t.co/6Qw3mtVkrp",0.26666666666666666,0.19999999999999998,positive
"3 of the 4 largest bank failures in the history of America were occurred in the last 2 months. 

#BankingCrisis… https://t.co/3cmciKqEWg",0.06666666666666667,0.0,neutral
@TheRedFishFry @Brevican @ResistItAllTX @POTUS Your source proved you wrong as the recession started as mentioned i… https://t.co/ZSG4Zo5gpn,0.9,-0.5,negative
@TheRedFishFry @Brevican @ResistItAllTX @POTUS So you are giving credit to Trump for the 1.4% caused by the worst r… https://t.co/QfJSbPStcB,1.0,-1.0,negative
@TheRedFishFry @Brevican @ResistItAllTX @POTUS It does not mention the 2020 recession because it was a monograph ab… https://t.co/fcocs4OLMx,0.0,0.0,neutral
"Next two months are crucial fro banks starting 1st may, 
Who will declare recession first ?",0.35833333333333334,0.0625,positive
"@TheRedFishFry @Brevican @ResistItAllTX @POTUS Here a vetted nonpartisan economic source, worst recession in histor… https://t.co/BXvMjD8SWm",0.6,-0.4,negative
